Austria;2015;47.3%;47.3;0,473;random route;CAPI;EWCS
Austria;2010;32.1%;32.1;0,321;random route;CAPI;EWCS
Belgium;;;;;;CAPI;EWCS
Belgium;2015;36.3%;36.3;0,363;national register;CAPI;EWCS
Bulgaria;2015;64.3%;64.3;0,643;national register;CAPI;EWCS
Bulgaria;2010;66.1%;66.1;0,661;national register;CAPI;EWCS
Croatia;2015;50.2%;50.2;0,502;national register;CAPI;EWCS
Croatia;2010;43.4%;43.4;0,434;random route;CAPI;EWCS
Cyprus;2015;69.4%;69.4;0,694;random route;CAPI;EWCS
Cyprus;2010;65.7%;65.7;0,657;random route;CAPI;EWCS
Czechia;2015;62.9%;62.9;0,629;random route;CAPI;EWCS
Czechia;2010;46.8%;46.8;0,468;random route;CAPI;EWCS
Denmark;2015;26.0%;26.0;0,26;national register;CAPI;EWCS
Denmark;2010;58.4%;58.4;0,584;national register;CAPI;EWCS
Estonia;2015;58.9%;58.9;0,589;address register;CAPI;EWCS
Estonia;2010;55.5%;55.5;0,555;national register;CAPI;EWCS
Finland;2015;33.3%;33.3;0,333;national register;CAPI;EWCS
Finland;2010;46.8%;46.8;0,468;national register;CAPI;EWCS
France;2015;37.4%;37.4;0,374;random route;CAPI;EWCS
France;2010;33.8%;33.8;0,338;random route;CAPI;EWCS
Germany;2015;51.0%;51.0;0,51;random route;CAPI;EWCS
Germany;2010;55.7%;55.7;0,557;random route;CAPI;EWCS
Greece;2015;63.7%;63.7;0,637;random route;CAPI;EWCS
Greece;2010;39.8%;39.8;0,398;random route;CAPI;EWCS
Hungary;2015;57.6%;57.6;0,576;random route;CAPI;EWCS
Hungary;2010;46.6%;46.6;0,466;national register;CAPI;EWCS
Ireland;2015;54.3%;54.3;0,543;address register;CAPI;EWCS
Ireland;2010;49.9%;49.9;0,499;address register;CAPI;EWCS
Italy;2015;60.5%;60.5;0,605;random route;CAPI;EWCS
Italy;2010;34.1%;34.1;0,341;random route;CAPI;EWCS
Latvia;2015;61.9%;61.9;0,619;random route;CAPI;EWCS
Latvia;2010;73.5%;73.5;0,735;random route;CAPI;EWCS
Lithuania;2015;61.5%;61.5;0,615;address register;CAPI;EWCS
Lithuania;2010;54.1%;54.1;0,541;random route;CAPI;EWCS
Luxembourg;2015;42.8%;42.8;0,428;address register;CAPI;EWCS
Luxembourg;2010;40.4%;40.4;0,404;random route;CAPI;EWCS
Malta;2015;46.2%;46.2;0,462;random route;CAPI;EWCS
Malta;2010;52.1%;52.1;0,521;random route;CAPI;EWCS
